5	8	31	87	34	60	7	50	89	81	82	47
7	11	13	72	73	31	55	36	93	83	60	9
8	12	92	88	2	97	29	78	2	86	54	83
11	14	14	94	38	90	49	24	38	47	34	69
12	19	34	14	93	20	69	85	17	98	42	27
13	23	90	40	55	1	21	82	55	85	80	97
16	26	50	99	48	72	61	85	11	8	35	19
17	29	62	65	50	87	33	38	4	24	47	30
22	30	59	90	31	12	89	39	94	82	37	42
25	31	70	49	96	4	14	87	98	41	68	24
28	32	3	2	99	60	11	47	37	47	57	20
31	33	53	63	52	61	96	58	65	96	66	71
32	34	4	24	100	52	16	70	7	97	50	19
34	36	83	53	46	1	16	97	21	77	40	53
35	37	34	73	43	69	16	55	4	58	48	30
36	38	85	61	22	95	9	64	47	92	7	47
37	39	25	59	20	88	46	58	16	50	42	93
38	40	59	44	84	12	67	93	100	17	97	22
40	41	94	25	73	36	84	87	43	33	79	1
41	43	5	43	53	25	80	17	96	30	73	91
42	44	6	2	83	57	72	18	73	56	77	69
43	46	3	61	52	62	48	25	59	7	76	52
44	48	69	96	56	31	71	76	55	7	85	53
46	54	60	10	22	80	96	20	71	17	78	11
47	55	12	4	59	80	51	99	1	95	98	100
49	57	80	89	15	79	31	71	79	82	12	36
50	58	62	25	6	36	79	18	93	72	40	63
51	60	8	1	69	6	24	86	1	98	50	40
52	61	7	82	61	71	24	91	83	100	26	1
54	62	14	15	22	100	47	97	77	99	4	55
55	63	79	88	41	17	62	58	100	16	98	51
56	64	10	10	63	12	62	57	23	96	73	25
57	66	24	36	56	92	13	18	92	54	15	5
58	67	25	60	13	49	13	52	65	8	15	85
60	68	11	59	17	86	29	55	11	32	71	5
62	70	86	67	1	81	74	17	27	90	39	32
66	73	70	65	42	19	42	50	77	84	8	79
72	77	74	44	49	25	83	54	81	1	42	98
73	79	66	14	16	6	94	20	11	65	15	59
75	81	52	76	67	61	40	63	47	81	80	78
77	85	33	25	2	78	6	3	22	25	94	73
78	86	67	66	12	52	58	32	93	7	1	66
79	87	12	86	96	3	75	54	33	27	66	67
80	89	15	9	98	100	33	33	86	11	68	94
82	90	2	98	4	51	50	61	26	49	26	54
83	91	97	4	50	34	23	37	88	42	85	40
84	92	98	84	87	18	94	14	19	39	30	68
86	93	13	84	25	63	49	92	76	89	3	45
89	94	47	5	84	58	54	65	4	43	10	14
91	96	66	55	82	76	23	66	65	29	80	44
94	98	30	95	63	16	10	68	57	5	72	55
95	99	76	33	1	36	7	75	38	22	79	40
97	101	56	81	38	15	82	85	22	24	63	40
98	107	43	61	91	86	78	52	80	3	83	76
99	108	27	79	69	34	20	16	15	71	4	53
100	109	76	80	38	28	90	39	49	1	41	50
101	112	90	5	64	1	69	83	2	62	25	9
